header__resultCode	header__resultMsg	body__items__item__createDt	body__items__item__deathCnt	body__items__item__defCnt	body__items__item__gubun	body__items__item__gubunCn	body__items__item__gubunEn	body__items__item__incDec	body__items__item__isolClearCnt	body__items__item__isolIngCnt	body__items__item__localOccCnt	body__items__item__overFlowCnt	body__items__item__qurRate	body__items__item__seq	body__items__item__stdDay	body__items__item__updateDt	body__numOfRows	body__pageNo	body__totalCount
0	NORMAL SERVICE.	00:00.0	5	4513	°Ë¿ª	Ì°×îÏ¡	Lazaretto	21	4111	397	0	21	0	10204	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9	10	1	19
		00:00.0	1	1362	Á¦ÁÖ	?ñ¶	Jeju	10	1263	98	10	0	201.89	10205	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	21	5414	°æ³²	?Ñõ	Gyeongsangnam-do	36	5201	192	36	0	162.09	10206	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	86	5030	°æºÏ	?ÝÁ	Gyeongsangbuk-do	13	4845	99	9	4	190.57	10207	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	17	1700	Àü³²	îïÑõ	Jeollanam-do	2	1603	80	2	0	91.82	10208	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	60	2430	ÀüºÏ	îïÝÁ	Jeollabuk-do	14	2298	72	14	0	134.69	10209	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	43	4069	Ãæ³²	õ÷Ñõ	Chungcheongnam-do	29	3733	293	28	1	191.84	10210	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	71	3376	ÃæºÏ	õ÷ÝÁ	Chungcheongbuk-do	19	3227	78	18	1	210.89	10211	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	53	3697	°­¿ø	Ë°ê«	Gangwon-do	16	3485	159	15	1	239.62	10212	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	659	47119	°æ±â	ÌÈÑ²	Gyeonggi-do	451	42892	3568	441	10	350.93	10213	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	1	594	¼¼Á¾	á¦ðó	Sejong	0	559	34	0	0	166.93	10214	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	40	2911	¿ï»ê	ê¥ß£	Ulsan	30	2783	88	29	1	256.25	10215	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	27	2917	´ëÀü	ÓÞï£	Daejeon	48	2580	310	47	1	199.26	10216	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	24	3001	±¤ÁÖ	ÎÃñ¶	Gwangju	21	2913	64	20	1	206.96	10217	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	61	7206	ÀÎÃµ	ìÒô¹	Incheon	84	6679	466	79	5	244.87	10218	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	222	10700	´ë±¸	ÓÞÏÈ	Daegu	14	10375	103	12	2	442.45	10219	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	126	6597	ºÎ»ê	Ý¼ß£	Busan	61	6060	411	59	2	194.49	10220	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	521	54084	¼­¿ï	âÏ?	Seoul	509	48537	5026	501	8	559.39	10221	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
		00:00.0	2038	166720	ÇÕ°è	ùê?	Total	1378	153144	11538	1320	58	321.67	10222	2021³â 07¿ù 10ÀÏ 00½Ã	11:33.9			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
