"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-11-13 09:34:07.842","16","6355","검역","隔離區","Lazaretto","4","6207","132","0","4","-","13271","2021년 11월 13일 00시","null","10","1","19"
"","","2021-11-13 09:34:07.842","5","3260","제주","济州","Jeju","15","3113","142","15","0","483","13270","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.842","44","13770","경남","庆南","Gyeongsangnam-do","41","13005","721","41","0","412","13269","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.842","97","10293","경북","庆北","Gyeongsangbuk-do","35","9649","547","35","0","390","13268","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.842","24","3815","전남","全南","Jeollanam-do","19","3562","229","19","0","206","13267","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.841","69","5611","전북","全北","Jeollabuk-do","59","5195","347","59","0","311","13266","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.841","68","11502","충남","忠南","Chungcheongnam-do","77","10571","863","76","1","542","13265","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.841","87","8338","충북","忠北","Chungcheongbuk-do","23","7889","362","23","0","521","13264","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.841","68","7579","강원","江原","Gangwon-do","31","7203","308","31","0","491","13263","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.84","1018","117634","경기","京畿","Gyeonggi-do","648","106973","9643","644","4","876","13262","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.84","2","1400","세종","世宗","Sejong","1","1373","25","1","0","393","13261","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.84","57","5508","울산","蔚山","Ulsan","1","5392","59","1","0","485","13260","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.84","56","7834","대전","大田","Daejeon","32","7525","253","32","0","535","13259","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.839","29","5604","광주","光州","Gwangju","31","5380","195","31","0","386","13258","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.839","118","21265","인천","仁川","Incheon","166","19120","2027","165","1","723","13257","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.839","285","17805","대구","大邱","Daegu","73","16970","550","73","0","736","13256","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.839","171","14638","부산","釜山","Busan","64","13799","668","64","0","432","13255","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.838","869","130831","서울","首尔","Seoul","1005","116627","13335","1001","4","1353","13254","2021년 11월 13일 00시","null","","",""
"","","2021-11-13 09:34:07.838","3083","393042","합계","合计","Total","2325","359553","30406","2311","14","758","13253","2021년 11월 13일 00시","null","","",""
