"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"00","NORMAL SERVICE.","2021-12-06 09:03:08.45","16","6501","검역","隔離區","Lazaretto","6","6300","0","6","-","13746","2021년 12월 06일 00시","null","10","1","19"
"","","2021-12-06 09:03:08.449","9","3859","제주","济州","Jeju","39","3560","39","0","572","13745","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.449","62","15707","경남","庆南","Gyeongsangnam-do","121","14507","120","1","470","13744","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.448","112","11923","경북","庆北","Gyeongsangbuk-do","181","10678","180","1","452","13743","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.448","27","4669","전남","全南","Jeollanam-do","37","4185","37","0","252","13742","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.447","79","6713","전북","全北","Jeollabuk-do","73","6041","72","1","372","13741","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.447","84","13794","충남","忠南","Chungcheongnam-do","157","12102","155","2","650","13740","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.446","95","9236","충북","忠北","Chungcheongbuk-do","59","8581","59","0","577","13739","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.446","78","9328","강원","江原","Gangwon-do","112","8184","112","0","605","13738","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.445","1279","142485","경기","京畿","Gyeonggi-do","1314","120052","1308","6","1061","13737","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.445","3","1632","세종","世宗","Sejong","13","1493","13","0","459","13736","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.444","57","5733","울산","蔚山","Ulsan","15","5566","13","2","505","13735","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.443","74","9280","대전","大田","Daejeon","106","8191","106","0","634","13734","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.443","31","6520","광주","光州","Gwangju","43","6042","43","0","450","13733","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.443","164","26529","인천","仁川","Incheon","302","22464","301","1","901","13732","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.443","323","19566","대구","大邱","Daegu","146","18198","145","1","809","13731","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.442","186","17297","부산","釜山","Busan","193","15359","192","1","510","13730","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.442","1214","166586","서울","首尔","Seoul","1408","137538","1401","7","1723","13729","2021년 12월 06일 00시","null","","",""
"","","2021-12-06 09:03:08.442","3893","477358","합계","合计","Total","4325","409041","4296","29","921","13728","2021년 12월 06일 00시","null","","",""
